,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,
,11,12,6,13,14,7,1,8,9,2,4,3,5,10,15,16,
data,F(t-1),A(t-1),F(t-2),Ma(t-1),Mi(t-1),A(t-2),F(t-3),Ma(t-2),Mi(t-2),A(t-3),Mi(t-3),Ma(t-3),PerBTC(t-2),PerBTC(t-2),PerBTC(t-1),Esperado,
2019-07-01,32.48,31.96,31.97,33.06,31.66,33.27,33.27,33.81,30.59,32.12,31.44,34.01,-0.0187,0.0207,0.0983,33.07,
2019-07-02,33.07,32.48,32.48,34.36,32.19,31.96,31.97,33.06,31.66,33.27,30.59,33.81,0.0207,0.0983,-0.062,32.6,
2019-07-03,32.6,33.07,33.07,33.64,32.42,32.48,32.48,34.36,32.19,31.96,31.66,33.06,0.0983,-0.062,-0.0173,32.61,
2019-07-04,32.61,32.61,32.6,33.18,32.53,33.07,33.07,33.64,32.42,32.48,32.19,34.36,-0.062,-0.0173,0.0271,32.97,
2019-07-05,32.97,32.61,32.61,33.37,32.47,32.61,32.6,33.18,32.53,33.07,32.42,33.64,-0.0173,0.0271,0.0131,33.4,
2019-07-06,33.4,32.97,32.97,34.24,32.8,32.61,32.61,33.37,32.47,32.61,32.53,33.18,0.0271,0.0131,0.0733,32.52,
2019-07-07,32.52,33.4,33.4,33.91,32.28,32.97,32.97,34.24,32.8,32.61,32.47,33.37,0.0131,0.0733,0.0236,31.22,
2019-07-08,31.22,32.51,32.52,32.94,30.62,33.4,33.4,33.91,32.28,32.97,32.8,34.24,0.0733,0.0236,-0.0344,29.43,
2019-07-09,29.43,31.24,31.22,31.78,28.37,32.51,32.52,32.94,30.62,33.4,32.28,33.91,0.0236,-0.0344,-0.0634,31.88,
2019-07-10,31.88,29.43,29.43,32.59,29.03,31.24,31.22,31.78,28.37,32.51,30.62,32.94,-0.0344,-0.0634,0.037,31.46,
2019-07-11,31.46,31.88,31.88,32.5,30.25,29.43,29.43,32.59,29.03,31.24,28.37,31.78,-0.0634,0.037,-0.0338,28.5,
2019-07-12,28.5,31.47,31.46,31.52,28.35,31.88,31.88,32.5,30.25,29.43,29.03,32.59,0.037,-0.0338,-0.1025,28.58,
2019-07-13,28.58,28.51,28.5,28.68,26.38,31.47,31.46,31.52,28.35,31.88,30.25,32.5,-0.0338,-0.1025,0.0633,25.06,
2019-07-14,25.06,28.58,28.58,29.52,24.95,28.51,28.5,28.68,26.38,31.47,28.35,31.52,-0.1025,0.0633,-0.131,27.61,
2019-07-15,27.61,25.06,25.06,28.09,24.18,28.58,28.58,29.52,24.95,28.51,26.38,28.68,0.0633,-0.131,0.0317,28.91,
2019-07-16,28.91,27.64,27.61,29.51,26.8,25.06,25.06,28.09,24.18,28.58,24.95,29.52,-0.131,0.0317,0.0955,28.99,
2019-07-17,28.99,28.91,28.91,29.92,28.33,27.64,27.61,29.51,26.8,25.06,24.18,28.09,0.0317,0.0955,-0.0075,31.07,
2019-07-18,31.07,28.98,28.99,31.45,28.9,28.91,28.91,29.92,28.33,27.64,26.8,29.51,0.0955,-0.0075,0.0241,30.42,
2019-07-19,30.42,31.07,31.07,31.52,29.31,28.98,28.99,31.45,28.9,28.91,28.33,29.92,-0.0075,0.0241,-0.0104,30.84,
2019-07-20,30.84,30.42,30.42,32.54,29.79,31.07,31.07,31.52,29.31,28.98,28.9,31.45,0.0241,-0.0104,-0.0282,29.46,
2019-07-21,29.46,30.83,30.84,30.87,29.02,30.42,30.42,32.54,29.79,31.07,29.31,31.52,-0.0104,-0.0282,-0.0503,28.88,
2019-07-22,28.88,29.46,29.46,29.48,27.81,30.83,30.84,30.87,29.02,30.42,29.79,32.54,-0.0282,-0.0503,-0.0085,28.92,
2019-07-23,28.92,28.87,28.88,29.68,28.52,29.46,29.46,29.48,27.81,30.83,29.02,30.87,-0.0503,-0.0085,0.0144,28.88,
2019-07-24,28.88,28.93,28.92,29.03,28.21,28.87,28.88,29.68,28.52,29.46,27.81,29.48,-0.0085,0.0144,-0.0115,27.7,
2019-07-25,27.7,28.88,28.88,29.42,27.27,28.93,28.92,29.03,28.21,28.87,28.52,29.68,0.0144,-0.0115,-0.0345,27.72,
2019-07-26,27.72,27.71,27.7,27.86,26.66,28.88,28.88,29.42,27.27,28.93,28.21,29.03,-0.0115,-0.0345,0.0248,27.03,
2019-07-27,27.03,27.73,27.72,27.99,26.86,27.71,27.7,27.86,26.66,28.88,27.27,29.42,-0.0345,0.0248,-0.0151,26.94,
2019-07-28,26.94,27.03,27.03,27.12,26.23,27.73,27.72,27.99,26.86,27.71,26.66,27.86,0.0248,-0.0151,0,27.73,
2019-07-29,27.73,26.95,26.94,27.81,26.79,27.03,27.03,27.12,26.23,27.73,26.86,27.99,-0.0151,0,0.0523,28.69,
2019-07-30,28.69,27.73,27.73,28.77,27.46,26.95,26.94,27.81,26.79,27.03,26.23,27.12,0,0.0523,0.0296,28.1,
2019-07-31,28.1,28.7,28.69,28.73,27.57,27.73,27.73,28.77,27.46,26.95,26.79,27.81,0.0523,0.0296,0.0135,27.74,
2019-08-01,27.74,28.1,28.1,28.33,27.53,28.7,28.69,28.73,27.57,27.73,27.46,28.77,0.0296,0.0135,0.0281,27.38,
2019-08-02,27.38,27.74,27.74,27.8,27.13,28.1,28.1,28.33,27.53,28.7,27.57,28.73,0.0135,0.0281,0.011,27.97,
2019-08-03,27.97,27.38,27.38,28.32,27.35,27.74,27.74,27.8,27.13,28.1,27.53,28.33,0.0281,0.011,0.0807,27.65,
2019-08-04,27.65,27.97,27.97,28.31,27.35,27.38,27.38,28.32,27.35,27.74,27.13,27.8,0.011,0.0807,-0.0284,29.65,
2019-08-05,29.65,27.65,27.65,29.97,27.34,27.97,27.97,28.31,27.35,27.38,27.35,28.32,0.0807,-0.0284,0.0464,31.2,
2019-08-06,31.2,29.65,29.65,31.78,29.19,27.65,27.65,29.97,27.34,27.97,27.35,28.31,-0.0284,0.0464,0.0148,29.82,
2019-08-07,29.82,31.19,31.2,31.48,29.66,29.65,29.65,31.78,29.19,27.65,27.34,29.97,0.0464,0.0148,-0.0084,29.6,
2019-08-08,29.6,29.79,29.82,29.97,29.08,31.19,31.2,31.48,29.66,29.65,29.19,31.78,0.0148,-0.0084,-0.0641,30.26,
2019-08-09,30.26,29.63,29.6,30.38,29.48,29.79,29.82,29.97,29.08,31.19,29.66,31.48,-0.0084,-0.0641,0.0179,30.18,
2019-08-10,30.18,30.26,30.26,30.55,29.84,29.63,29.6,30.38,29.48,29.79,29.08,29.97,-0.0641,0.0179,-0.0107,29.44,
2019-08-11,29.44,30.17,30.18,30.41,29.21,30.26,30.26,30.55,29.84,29.63,29.48,30.38,0.0179,-0.0107,-0.044,27,
2019-08-12,27,29.43,29.44,29.45,26.85,30.17,30.18,30.41,29.21,30.26,29.84,30.55,-0.0107,-0.044,-0.0774,28.1,
2019-08-13,28.1,27,27,28.2,27,29.43,29.44,29.45,26.85,30.17,29.21,30.41,-0.044,-0.0774,0.0253,27.5,
2019-08-14,27.5,28.1,28.1,28.1,26.85,27,27,28.2,27,29.43,26.85,29.45,-0.0774,0.0253,0.0031,27.45,
2019-08-15,27.45,27.5,27.5,27.9,27.07,28.1,28.1,28.1,26.85,27,27,28.2,0.0253,0.0031,-0.0114,27.91,
2019-08-16,27.91,27.45,27.45,28.16,27.11,27.5,27.5,27.9,27.07,28.1,26.85,28.1,0.0031,-0.0114,0.0093,28.78,
2019-08-17,28.78,27.9,27.91,29.2,27.73,27.45,27.45,28.16,27.11,27.5,27.07,27.9,-0.0114,0.0093,0.058,27.99,
2019-08-18,27.99,28.77,28.78,28.81,27.8,27.9,27.91,29.2,27.73,27.45,27.11,28.16,0.0093,0.058,-0.0145,26.95,
2019-08-19,26.95,28,27.99,28.04,26.42,28.77,28.78,28.81,27.8,27.9,27.73,29.2,0.058,-0.0145,-0.0568,27.02,
2019-08-20,27.02,26.95,26.95,27.32,26.31,28,27.99,28.04,26.42,28.77,27.8,28.81,-0.0145,-0.0568,-0.0036,27.03,
2019-08-21,27.03,27.02,27.02,27.32,26.87,26.95,26.95,27.32,26.31,28,26.42,28.04,-0.0568,-0.0036,0.0281,26.44,
2019-08-22,26.44,27.03,27.03,27.03,26.09,27.02,27.02,27.32,26.87,26.95,26.31,27.32,-0.0036,0.0281,-0.0248,26.08,
2019-08-23,26.08,26.44,26.44,26.48,25.67,27.03,27.03,27.03,26.09,27.02,26.87,27.32,0.0281,-0.0248,0.0005,26.12,
2019-08-24,26.12,26.08,26.08,27.18,25.79,26.44,26.44,26.48,25.67,27.03,26.09,27.03,-0.0248,0.0005,0.0232,25.59,
2019-08-25,25.59,26.12,26.12,26.13,24.72,26.08,26.08,27.18,25.79,26.44,25.67,26.48,0.0005,0.0232,-0.018,23.42,
2019-08-26,23.42,25.6,25.59,25.99,23.32,26.12,26.12,26.13,24.72,26.08,25.79,27.18,0.0232,-0.018,-0.0447,21.84,
2019-08-27,21.84,23.42,23.42,23.42,21.4,25.6,25.59,25.99,23.32,26.12,24.72,26.13,-0.018,-0.0447,-0.0245,22.17,
2019-08-28,22.17,21.84,21.84,22.62,21.59,23.42,23.42,23.42,21.4,25.6,23.32,25.99,-0.0447,-0.0245,0.0099,21.22,
2019-08-29,21.22,22.19,22.17,22.42,21.17,21.84,21.84,22.62,21.59,23.42,21.4,23.42,-0.0245,0.0099,0.0009,21.54,
2019-08-30,21.54,21.22,21.22,21.83,21.16,22.19,22.17,22.42,21.17,21.84,21.59,22.62,0.0099,0.0009,0.0141,22.77,
